date,n_kap_day,n_material,kap_score,kap_polarity,has_earnings,has_dividend,has_buyback,has_rating,has_oda
2018-07-28,3,2,0.0,neutral,1,0,0,0,0
2018-07-30,14,12,-0.8,neutral,1,0,0,0,1
2018-07-31,23,21,0.0,neutral,1,0,0,0,1
2018-08-01,28,24,1.3,bullish,1,0,0,0,1
2018-08-02,13,12,1.0,bullish,0,0,0,0,1
2018-08-03,27,24,3.0,bullish,1,0,0,0,1
2018-08-06,19,17,-1.0,bearish,1,0,0,0,1
2018-08-07,22,19,0.0,neutral,0,0,0,0,1
2018-08-08,17,16,1.0,bullish,1,0,0,0,1
2018-08-09,39,31,1.0,bullish,1,0,0,0,1
2018-08-10,30,15,1.8,bullish,0,0,0,0,1
2018-08-13,28,18,2.0,bullish,1,0,0,0,1
2018-08-14,30,26,1.0,bullish,1,0,0,0,1
2018-08-15,8,7,4.2,bullish,1,0,1,0,1
2018-08-16,15,15,3.0,bullish,0,0,0,0,1
2018-08-17,37,35,5.4,bullish,1,0,1,1,1
2018-08-20,6,5,0.0,neutral,0,0,0,1,1
2018-08-27,13,13,2.9,bullish,0,0,1,1,1
2018-08-28,22,22,4.4,bullish,0,0,1,1,1
2018-08-29,22,22,5.4,bullish,0,0,1,1,1
2018-08-31,26,24,6.7,bullish,0,0,1,0,1
2018-09-03,8,8,6.4,bullish,0,0,1,0,1
2018-09-04,16,15,3.5,bullish,0,0,1,0,1
2018-09-05,21,19,3.2,bullish,0,0,1,1,1
2018-09-06,16,16,4.2,bullish,0,0,1,0,1
2018-09-07,12,12,1.2,bullish,0,0,1,0,0
2018-09-10,7,6,2.2,bullish,0,0,1,0,1
2018-09-11,16,14,6.4,bullish,0,0,1,0,0
2018-09-12,12,10,2.2,bullish,0,0,1,0,1
2018-09-13,18,15,4.2,bullish,0,0,1,0,1
2018-09-14,23,23,7.2,bullish,0,0,1,0,1
2018-09-17,13,11,6.2,bullish,0,0,1,0,1
2018-09-18,11,11,2.5,bullish,0,0,1,0,0
2018-09-19,12,11,2.2,bullish,0,0,1,0,1
2018-09-20,16,14,2.2,bullish,0,0,1,0,1
2018-09-21,12,11,1.4000000000000001,bullish,0,0,1,1,1
2018-09-24,12,11,5.2,bullish,0,0,1,0,1
2018-09-25,10,9,2.2,bullish,0,0,1,0,1
2018-09-26,18,18,1.2,bullish,0,0,1,0,1
2018-09-27,20,20,1.2,bullish,0,0,1,1,1
2018-09-28,19,18,4.4,bullish,0,0,1,0,1
2018-10-01,10,8,1.0,bullish,0,0,0,0,1
2018-10-02,26,26,0.0,neutral,0,0,0,1,1
2018-10-03,4,4,0.0,neutral,0,0,0,0,1
2018-10-04,16,14,2.0,bullish,0,0,0,0,1
2018-10-05,13,13,-1.0,bearish,0,0,0,0,1
2018-10-08,5,4,2.0,bullish,0,0,0,0,0
2018-10-09,17,16,3.0,bullish,0,0,0,0,0
